rank,name,title,status,commits,description,last_updated,last_checked,builder,has_screenshots,has_icon,has_prompts,prompt_count,repo_url,landing_url,categories
,0x7677905b8657718042f4372b6261f2229a234cc0,0X7677905B8657718042F4372B6261F2229A234Cc0,Pending,,,,,,,,,,https://github.com/miniapp-factory/0x7677905b8657718042f4372b6261f2229a234cc0,https://0x7677905b8657718042f4372b6261f2229a234cc0.miniapp-factory.marketplace.openxai.network,
36,0xburi,0Xburi,Active,11,Check OPENX price and display local/UTC time with a quote.,2025-11-21T13:44:54Z,2025-11-24T17:13:16.323357,,Yes,Yes,Yes,5,https://github.com/miniapp-factory/0xburi,https://0xburi.miniapp-factory.marketplace.openxai.network,"Game, Social, Tracker"
34,0xdepined,0Xdepined,Active,12,DePIN Hub is a unified platform that brings together every major Decentralized Physical Infrastructure (DePIN) project in the ecosystem.,2025-11-20T20:07:05Z,2025-11-24T17:13:16.323357,,Yes,Yes,Yes,3,https://github.com/miniapp-factory/0xdepined,https://0xdepined.miniapp-factory.marketplace.openxai.network,Other
38,0xproject11,0Xproject11,Active,9,Play the classic 2048 game and stake your tokens for a 2‑year reward in this mini app.,2025-11-21T01:44:40Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,3,https://github.com/miniapp-factory/0xproject11,https://0xproject11.miniapp-factory.marketplace.openxai.network,"Puzzle, Social"
44,111110,111110,Active,5,Spin the slots and win with colorful fruit!,2025-11-20T22:20:33Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/111110,https://111110.miniapp-factory.marketplace.openxai.network,"Casino, Social"
51,11fdf,11Fdf,Active,4,"An app to learn languages through vocabulary, flashcards, quizzes, and progress tracking.",2025-11-20T21:10:37Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/11fdf,https://11fdf.miniapp-factory.marketplace.openxai.network,"AI, Education, Fitness, Health, Language Learning, Quiz, Social"
52,12212f,12212F,Active,4,"Transform mundane portfolio management into an arcane ritual of numbers, charts, and random chaos.",2025-11-20T21:52:25Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/12212f,https://12212f.miniapp-factory.marketplace.openxai.network,"Alert, Crypto, DeFi, Portfolio, Social, Trading"
53,123456,123456,Active,4,A simple app that converts temperatures between Celsius and Fahrenheit.,2025-11-21T15:26:11Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/123456,https://123456.miniapp-factory.marketplace.openxai.network,Utility
,169aac15-0af9-4d1c-bc41-dab62c049d78,169Aac15 0Af9 4D1C Bc41 Dab62C049D78,Pending,,,,,,,,,,https://github.com/miniapp-factory/169aac15-0af9-4d1c-bc41-dab62c049d78,https://169aac15-0af9-4d1c-bc41-dab62c049d78.miniapp-factory.marketplace.openxai.network,
45,2048,2048,Active,5,Play the classic 2048 game and share your score!,2025-11-20T16:23:03Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/2048,https://2048.miniapp-factory.marketplace.openxai.network,"Puzzle, Social"
11,2048-app,2048 App,Active,9,Play the classic 2048 game in a mini app.,2025-11-23T03:16:09Z,2025-11-24T16:32:08.439488,,Yes,Yes,Yes,3,https://github.com/miniapp-factory/2048-app,https://2048-app.miniapp-factory.marketplace.openxai.network,"Puzzle, Social"
102,220803,220803,Active,3,A simple clicker game built with Next.js and shadcn components.,2025-11-21T11:03:11Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/220803,https://220803.miniapp-factory.marketplace.openxai.network,Game
54,2442,2442,Active,4,Play the classic 2048 game in a mini app.,2025-11-20T18:51:51Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/2442,https://2442.miniapp-factory.marketplace.openxai.network,"Puzzle, Social"
3,2d-to-3d-printer,Snakes vs Walls,Active,88,Feed the Snake To Grow. Stay inside the Walls and Don,2025-11-21T19:59:03Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,43,https://github.com/miniapp-factory/2d-to-3d-printer,https://2d-to-3d-printer.miniapp-factory.marketplace.openxai.network,"AI, Platformer, Social"
55,5minlearn,5Minlearn,Active,4,Generate an app logo and update the app metadata title and description.,2025-11-22T15:44:06Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/5minlearn,https://5minlearn.miniapp-factory.marketplace.openxai.network,"Education, Generator, Language Learning"
,a355ca8b-d508-4872-b3ed-56640273a58c,A355Ca8B D508 4872 B3Ed 56640273A58C,Pending,,,,,,,,,,https://github.com/miniapp-factory/a355ca8b-d508-4872-b3ed-56640273a58c,https://a355ca8b-d508-4872-b3ed-56640273a58c.miniapp-factory.marketplace.openxai.network,
56,aapps,Aapps,Active,4,Turn everyday moments into uplifting stories with AI-powered motivational speeches.,2025-11-21T00:18:04Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/aapps,https://aapps.miniapp-factory.marketplace.openxai.network,"AI, Game"
24,abcd,Abcd,Active,4,A demo app showcasing the Mini App Factory,2025-11-23T05:15:05Z,2025-11-24T16:32:08.439488,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/abcd,https://abcd.miniapp-factory.marketplace.openxai.network,Utility
57,abeddehmet,Abeddehmet,Active,4,Spin the slot machine and win fruit prizes!,2025-11-21T04:05:08Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/abeddehmet,https://abeddehmet.miniapp-factory.marketplace.openxai.network,"Casino, Social"
58,abhi,Abhi,Active,4,A simple to-do list application built with Next.js and shadcn components.,2025-11-20T16:43:01Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/abhi,https://abhi.miniapp-factory.marketplace.openxai.network,Utility
59,advent-calendar,Advent Calendar,Active,4,"Christmas Advent Calendar made up of 24 numbered boxes, from December 1st to December 24th.",2025-11-20T14:59:59Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/advent-calendar,https://advent-calendar.miniapp-factory.marketplace.openxai.network,Game
60,agro-ins,Agro Ins,Active,4,BuildPro: Construction Assistant App,2025-11-20T19:19:18Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/agro-ins,https://agro-ins.miniapp-factory.marketplace.openxai.network,"AI, AI Chat, Chat, Platformer, Social"
61,ai-farmer,Ai Farmer,Active,4,This app shows that farmers have also come into crypto.,2025-11-22T02:42:37Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/ai-farmer,https://ai-farmer.miniapp-factory.marketplace.openxai.network,Crypto
62,ai-girlfriend,Ai Girlfriend,Active,4,An app that lets you chat with a friendly AI girlfriend who remembers past messages.,2025-11-20T15:14:12Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/ai-girlfriend,https://ai-girlfriend.miniapp-factory.marketplace.openxai.network,AI Chat
63,ai-logogenerator,Ai Logogenerator,Active,4,Generates logo concepts from name + style.,2025-11-22T04:00:50Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/ai-logogenerator,https://ai-logogenerator.miniapp-factory.marketplace.openxai.network,Generator
64,ai-powered-habit-tracker,Ai Powered Habit Tracker,Active,4,"A smart, personalized self‑improvement app that helps users build consistency, stay motivated, and achieve long‑term goals through AI‑driven...",2025-11-20T14:39:38Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/ai-powered-habit-tracker,https://ai-powered-habit-tracker.miniapp-factory.marketplace.openxai.network,"AI, Education, Finance, Fitness, Game, Health, Language Learning, Social"
,ai-riddle-rush,Ai Riddle Rush,Pending,,,,,,,,,,https://github.com/miniapp-factory/ai-riddle-rush,https://ai-riddle-rush.miniapp-factory.marketplace.openxai.network,
65,ai-story-generator,Ai Story Generator,Active,4,"A creative writing companion that instantly generates stories, plots, characters, and more using AI.",2025-11-20T14:44:25Z,2025-11-24T17:16:50.627692,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/ai-story-generator,https://ai-story-generator.miniapp-factory.marketplace.openxai.network,"Education, Game, Language Learning, Social"
324,ai-taskprioritizer,Ai Taskprioritizer,Active,4,Rank tasks by urgency and importance.,2025-11-22T04:22:20Z,2025-11-24T18:16:10.824682,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/ai-taskprioritizer,https://ai-taskprioritizer.miniapp-factory.marketplace.openxai.network,Utility
325,aibuddy,Aibuddy,Active,4,"AiBuddy helps users quickly generate ideas, captions, and content using AI.",2025-11-20T14:50:34Z,2025-11-24T18:16:10.824682,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/aibuddy,https://aibuddy.miniapp-factory.marketplace.openxai.network,"Generator, Social"
